Patrim.;Nº Série;Sector;Status;Modelo;ID;;;;;;;;
615.000.131;PC-058DUJ;IT;Use;Lenovo Thinkpad T450;Z20012615000131;;;;;;;;
614.000.081;PB-01HCZU;IT;Use;Lenovo Thinkpad T440P;Z20012614000081;;;;;;;;
614.000.080;PB-01HD07;IT;Use;Lenovo Thinkpad T440P;Z20012614000080;;;;;;;;
614.000.125;PF01LUKQ;IT;Use;Lenovo Thinkpad T440;Z20012614000125;;;;;;;;
612.000.012;R9GL3CL;IT;Use;Lenovo Thinkpad X220 ;Z20012612000012;;;;;;;;
615.000.052;PC-00CYRH;IT;Use;Lenovo Thinkpad T440P;Z20012615000052;;;;;;;;
612.000.120;R9RMLDH;IT;Use;Lenovo Thinkpad  L430 ;Z20012612000120;;;;;;;;
616.000.056;PF-0EQFZW;IT;Use;Lenovo Thinkpad L450;Z20012616000056;;;;;;;;
612.000.121;R9RML7T;IT;Use;Lenovo Thinkpad L430 ;Z20012612000121;;;;;;;;
617.000.068;PC-0DXE48;IT;Use;Lenovo Thinkpad T460;Z20012617000068;;;;;;;;
618.000.057;PC0V8JBH;IT;Use;LENOVO ThinkCentre V520S;Z20012618000057;;;;;;;;
619.000.035;PC0NJFNX;IT;Use;LENOVO ThinkCentre V520S;Z20012619000035;;;;;;;;
613.000.040;MJ466WR;KANBAN;Use;LENOVO ThinkCentre M82;Z20012613000040;;;;;;;;
612.000.289;MJVCDTY;KANBAN;Use;LENOVO ThinkCentre M82;Z20012612000289;;;;;;;;
613.000.035;MJ061X7;KANBAN;Use;LENOVO ThinkCentre M82;Z20012613000035;;;;;;;;
622.000.074;YJ01DBGQ;LOGISTICA;Use;LENOVO ThinkCentre M60e;Z20012622000074;;;;;;;;
620.000.077;YL0107J6;LOGISTICA;Use;LENOVO ThinkCentre V530S;Z20012620000077;;;;;;;;
622.000.097;YJ01BYDW;LOGISTICA;Use;LENOVO ThinkCentre M60e;Z20012622000097;;;;;;;;
622.000.085;YJ01DBGX;LOGISTICA;Use;LENOVO ThinkCentre M60e;Z20012622000085;;;;;;;;
622.000.083;YJ01DBP3;LOGISTICA;Use;LENOVO ThinkCentre M60e;Z20012622000083;;;;;;;;
617.000.066;PC0DXK46;LOGISTICA;Use;Lenovo Thinkpad T460;Z20012617000066;;;;;;;;
622.000.072;YJ01BYG7;LOGISTICA;Use;LENOVO ThinkCentre M60e;Z20012622000072;;;;;;;;
613.000.038;MJ061T3;LOGISTICA;Use;LENOVO ThinkCentre M82;Z20012613000038;;;;;;;;
612.000.088;MXJ061R9;LOGISTICA;Use;LENOVO ThinkCentre M82;Z20012612000088;;;;;;;;
618.000.059;PC0V8JBL;LOGISTICA;Use;LENOVO ThinkCentre V520S;Z20012618000059;;;;;;;;
617.000.120;PC0M1PVN;LOGISTICA;Use;LENOVO ThinkCentre V520S;Z20012617000120;;;;;;;;
619.000.033;PC0NJFNM;LOGISTICA;Use;LENOVO ThinkCentre V520S;Z20012619000033;;;;;;;;
622.000.086;YJ01DBKF;LOGISTICA;Use;LENOVO ThinkCentre M60e;Z20012622000086;;;;;;;;
617.000.125;PC0M1PUH;LOGÍSTICA;Use;LENOVO ThinkCentre V520S;Z20012617000125;;;;;;;;
613.000.044;MJ466NR;LOGÍSTICA;Use;LENOVO ThinkCentre M82;Z20012613000044;;;;;;;;
613.000.041;MJ061T4;TIE;Use;LENOVO ThinkCentre M82;Z20012613000041;;;;;;;;
622.000.064;YJ01BYER;LOGÍSTICA;Use;LENOVO ThinkCentre M60e;Z20012622000064;;;;;;;;
622.000.082;YJ01DBNH;LOGÍSTICA;Use;LENOVO ThinkCentre M60e;Z20012622000082;;;;;;;;
623.000.115;MJ0JAJYA;MANTENIMIENTO;Use;LENOVO ThinkStation P520c;Z20012623000115;;;;;;;;
619.000.022;PCOME9JY;PRESIDENCIA;Use;Lenovo ThinkPad T470s;Z20012619000022;;;;;;;;
617.000.115;PC0M1PVC;PRESIDENCIA;Use;LENOVO ThinkCentre V520S;Z20012617000115;;;;;;;;
613.000.036;MJVCEDL;PRODUCCION;Use;LENOVO ThinkCentre M82;Z20012613000036;;;;;;;;
622.000.066;YJ01DBN4;PRODUCCION;Use;LENOVO ThinkCentre M60e;Z20012622000066;;;;;;;;
618.000.060;PC0V8JBB;PRODUCCION;Use;LENOVO ThinkCentre V520S;Z20012618000060;;;;;;;;
619.000.032;PC0NJFN9;PRODUCCION;Use;LENOVO ThinkCentre V520S;Z20012619000032;;;;;;;;
612.000.290;MJ061K8;PRODUCCION;Use;LENOVO ThinkCentre M82;Z20012612000290;;;;;;;;
619.000.045;PC0NJFPH;PRODUCCION;Use;LENOVO ThinkCentre V520S;Z20012619000045;;;;;;;;
619.000.039;PC0NJFNS;PRODUCCION;Use;LENOVO ThinkCentre V520S;Z20012619000039;;;;;;;;
617.000.121;PC0M1PV4;PRODUCCION;Use;LENOVO ThinkCentre V520S;Z20012617000121;;;;;;;;
620.000.078;YL0107HZ;RRHH;Use;LENOVO ThinkCentre V520S;Z20012620000078;;;;;;;;
621.000.176;PF3CDZ4F;RRHH;Use;Lenovo ThinkPad E15;Z20012621000176;;;;;;;;
618.000.056;PC0V8JCS;RRHH;Use;LENOVO ThinkCentre V520S;Z20012618000056;;;;;;;;
615.000.094;PC058F42;RRHH;Use;Lenovo Thinkpad T450;Z20012615000094;;;;;;;;
618.000.030;PC0RR0NC;RRHH;Use;LENOVO ThinkCentre V520S;Z20012618000030;;;;;;;;
618.000.033;PC0V8JBK;RRHH;Use;LENOVO ThinkCentre V520S;Z20012618000033;;;;;;;;
622.000.087;YJ01BYG7;RRHH;Use;LENOVO ThinkCentre M60e;Z20012622000087;;;;;;;;
622.000.088;YJ01DBLK;RRHH;Use;LENOVO ThinkCentre M60e;Z20012622000088;;;;;;;;
622.000.067;YJ01BYEJ;RRHH;Use;LENOVO ThinkCentre M60e;Z20012622000067;;;;;;;;
619.000.034;PC0NJFNT;RRHH;Use;LENOVO ThinkCentre V520S;Z20012619000034;;;;;;;;
622.000.089;YJ01BYF1;RRHH;Use;LENOVO ThinkCentre M60e;Z20012622000089;;;;;;;;
613.000.034;MJ466WL;RRHH;Use;LENOVO ThinkCentre M82;Z20012613000034;;;;;;;;
618.000.066;MJ06ETXA;SALA GERENCIA;Use;LENOVO ThinkCentre TINY;Z20012618000066;;;;;;;;
618.000.067;MJ06ETVR;SALA NOCOLOK;Use;LENOVO ThinkCentre TINY;Z20012618000067;;;;;;;;
618.000.068;MJ0ETVV;SALA NOCOLOK;Use;LENOVO ThinkCentre TINY;Z20012618000068;;;;;;;;
620.000.079;YL0107J5;SEGURIDAD E HIGIENE;Use;LENOVO ThinkCentre V530S;Z20012620000079;;;;;;;;
619.000.038;PC0NJFPJ;PRODUCCION;Use;LENOVO ThinkCentre V520S;Z20012619000038;;;;;;;;
619.000.041;PC0NJFNZ;TECNOLOGIA;Use;LENOVO ThinkCentre V520S;Z20012619000041;;;;;;;;
618.000.036;PC0V8JBR;SIN ASIGNAR;Use;LENOVO ThinkCentre V520S;Z20012618000036;;;;;;;;
622.000.079;YJ01DBH3;SIN ASIGNAR;Use;LENOVO ThinkCentre M60e;Z20012622000079;;;;;;;;
613.000.042;MJVCEKL;SIN ASIGNAR;Use;LENOVO ThinkCentre M82;Z20012613000042;;;;;;;;
612.000.291;MJ466MW;TEAM LEADERS;Use;LENOVO ThinkCentre M82;Z20012612000291;;;;;;;;
618.000.027;PC0RR0NH;TECNOLOGIA;Use;LENOVO ThinkCentre V520S;Z20012618000027;;;;;;;;
618.000.028;PC0RR0MA;TECNOLOGIA;Use;LENOVO ThinkCentre V520S;Z20012618000028;;;;;;;;
617.000.116;PC0M1PTM;;Use;LENOVO ThinkCentre V520S;Z20012617000116;;;;;;;;
619.000.036;PC0NJFNM;TECNOLOGIA;Use;LENOVO ThinkCentre V520S;Z20012619000036;;;;;;;;
617.000.127;PC0M1PVB;TECNOLOGIA;Use;LENOVO ThinkCentre V520S;Z20012617000127;;;;;;;;
619.000.044;PC0NJFPS;TECNOLOGIA;Use;LENOVO ThinkCentre V520S;Z20012619000044;;;;;;;;
622.000.071;YJ01DBLG;TECNOLOGIA;Use;LENOVO ThinkCentre M60e;Z20012622000071;;;;;;;;
